,Name,Actors,Introduction,Date
0,欧洲攻略,梁朝伟/吴亦凡,电影《欧洲攻略》由银润传媒集团出品，马楚成担任指导，预计将于2018年8月17日，敬请期待！据悉，银润传媒董事长陈向荣在某发布会上透露，由梁朝伟、吴亦凡主演的电影《欧洲攻略》即将于今年3月底在法国巴黎开拍，女主角暂不公布，具体上映时间也未知，发布会后，新浪娱乐记者进一步确认此事，吴亦凡工作人员回应称“意向有，洽谈中，在接触“，其余未透露太多，银润方表示吴亦凡确认出演，只是具体合作细节在确认中”。...详情>>,上映：2018年08月17日
1,精灵旅社3,,《精灵旅社3》这部影片是由索尼动画出品，导演格恩迪·塔塔科夫斯基执导，于2018年9月21日在美国上映，于2018年8月17日在中国上映。据悉，该影片主要是讲述了吸血鬼公爵（亚当山德勒 配音）在郊区经营了一间特殊的“五星级”旅馆，专门收留令人闻风丧胆的怪兽，让它们在里面尽情搞怪做自己。 为了庆祝爱女梅菲丝118岁生日，吸血鬼公爵邀请来了科学怪人、木乃伊、狼人、隐形人等一票怪物好友狂欢，没想到一位莽撞的背包客意外发现怪兽旅馆，并无可救药的爱上梅菲丝，吸血鬼公爵该如何解决这个不怕死的家伙？但是，当一个普通的人类不小心闯进了旅社，而且还喜欢......详情>>,上映：2018年08月17日
2,侠隐,姜文/彭于晏/廖凡/周韵/许晴,《侠隐》这部影片是由姜文执导，姜文、彭于晏、廖凡、周韵、许晴主演，预计在2018年8月上映，据悉，该影片改编自张北海的武侠小说，主要是讲述了十年前惨遭灭门逃亡美国的李，回到北平执行任务，并借机向仇人复仇，李利用仇人的情人进行离间、伺机行动，不料被神秘人物阻挡。李爱上了裁缝巧，在巧的协助下成功复仇，并揭露了当年的灭门惨案的故事。...详情>>,上映：2018年08月17日
3,快把我哥带走,彭昱畅/张子枫/赵今麦/孙泽源/刘冠毅/方翔锐,《快把我哥带走》这部影片是由万达影视传媒有限公司、深圳市中汇影视文化传播股份有限公司联合出品，张子枫、彭昱畅主演，预计在2018年8月17日上映，据悉，该影片改编自同名热门漫画，主要是讲述了父母婚姻走到了尽头，时秒把责任推在哥哥时分的身上，乞求老天“快把我哥带走”，这样家庭就圆满了。时秒的愿望实现了！时分成了别人的哥哥，可时秒发现自己再也不快乐了，她想让哥哥回来，可是要面对一个选择的故事。...详情>>,上映：2018年08月17日
4,道高一丈,聂远/谭凯/孔维/徐露/曲高位/张陆,电影《道高一丈》由爱奇艺影业（北京）有限公司、火象（上海）影视文化发展有限公司联合出品，姜凯阳编剧并指导，聂远、谭凯、孔维、徐露、曲高位、张陆领衔主演，预计将于2018年8月24日在全国影院上映。影片讲述了被警校开除的学生宋朝（聂远 饰）被卷入“杀警”案“畏罪潜逃”，因仗义解救好兄弟重返故地，身为警察的刘海洋（谭凯 饰），抱着“杀父之恨”追捕宋朝，不仅发现他与自己的妻子楚洁（徐露 饰）有着暗中的联系，在警匪追逐、黑势力追杀的过程中揭露了一桩惊天的黑幕交易！正邪难辨扑朔迷离，却环环相扣，像片名传达的那样“魔高一尺、道高一丈”，最终水落石......详情>>,上映：2018年08月17日
5,一出好戏,黄渤/王迅/于和伟/王宝强/张艺兴/舒淇,《一出好戏》这部影片是黄渤的导演处女作，黄渤、王迅、于和伟、王宝强、舒淇等主演，预计在2018年8月10日上映，据悉，该影片目前尚未透露剧情信息，后续将会陆续更新，敬请期待！...详情>>,上映：2018年08月17日
6,如影随心,陈晓/杜鹃/王嘉/马苏/关晓彤/高晓攀,《如影随心》这部影片是由万达影业出品，霍建起执导，陈晓、杜鹃、马苏、王嘉等主演，预计在2018年8月17日上映，据悉，该影片是根据作家安顿早年未发表的情感实录改编，后续将会陆续更新演员以及剧情信息，敬请期待！...详情>>,上映：2018年08月17日
7,人质列车,余男/保剑锋/黄奕/斯琴高娃/徐锦江/石兆琪,电影《人质列车》由尹哲执导，保剑锋、余男、黄奕、马克、艾力库参演，将于2018年8月上映。据悉影片以迎接十九大召开，弘扬人民警察的光辉形象为基调，主要讲述满载乘客的列车遭到恐怖分子劫持，他们要求中国政府释放毒枭。危急关头，武警队长陈彪在列车上英勇地与恐怖分子斗争的故事。...详情>>,上映：2018年08月17日
8,疯狂的亚洲富翁,,电影《疯狂的亚洲富翁》由朱浩伟执导，杨紫琼、郑肯、嘉玛·陈、岑勇康等人参演，将于2018年8月17日在北美上映。据悉影片主要讲述华裔经济学教授Rachel与男朋友Nick去新加坡参加朋友的婚礼，Nick隐形富豪的身份遭到曝光，之后超精英社会阶层里的女性们都开始嫉妒Rachel能够找到这么好的男朋友，于是纷纷暗地里用尽心机地拆散她俩。...详情>>,上映：2018年08月17日
9,追日危情,,电影《追日危情》由刘夏同执导，黄子腾、张暖雅、朱可人、姜凯参演，这是中国首部以川黔线为背景的公路片，已经正式开拍，拍摄周期为45天，计划明年暑假上映。据悉影片主要讲述三人穿越川藏线时经历着生死考验，各怀心思的他们在这个过程中穿越了风雨并慢慢理解了爱与宽容，齐剑和纪晶晶不计年龄跨度而相爱，不安好心的姜凯在千钧一发时分善心复苏，勇敢挽救齐剑……...详情>>,上映：2018年08月17日
